TEAM,POS,PLAYER,variable
Raptors,Forward,RJ Barrett,-,23
,,Kelly Olynyk,-,19
,,,3P,3
,,Jordan Nwora,-,5
,,,3P,6
,,Jalen McDaniels,-,7
,Guard,Javon Freeman-Liberty,-,14
,,,3P,6
,,Bruce Brown,-,16
,,Gary Trent Jr.,-,16
,,Ochai Agbaji,-,2
Pacers,Guard,Tyrese Haliburton,-,21
,,,3P,9
,,T.J. McConnell,-,14
,,,3P,3
,,Ben Sheppard,-,2
,,,3P,9
,,Aaron Nesmith,-,8
,,Andrew Nembhard,-,2
,,,3P,6
,,Quenton Jackson,-,2
,Forward,Obi Toppin,-,14
,,,3P,9
,,Pascal Siakam,-,16
,,Isaiah Jackson,-,4
,,Doug McDermott,3P,3
,,Jalen Smith,-,2
,Center,Myles Turner,-,7
,,,3P,9
